"cogs","date","market","product_line","product","sales","state","total_expenses","type"
95,2012-01-01,"Central","Beans","Decaf Irish Cream",234,"Colorado",38,"Decaf"
95,2012-01-01,"Central","Beans","Decaf Irish Cream",234,"Illinois",52,"Decaf"
72,2012-01-01,"Central","Beans","Decaf Espresso",180,"Colorado",55,"Decaf"
228,2012-01-01,"Central","Beans","Decaf Espresso",456,"Illinois",88,"Decaf"
58,2012-01-01,"Central","Beans","Decaf Espresso",130,"Ohio",56,"Decaf"
84,2012-01-01,"East","Beans","Decaf Irish Cream",200,"Florida",49,"Decaf"
77,2012-01-01,"East","Beans","Decaf Espresso",180,"Florida",53,"Decaf"
83,2012-01-01,"South","Beans","Decaf Irish Cream",190,"Texas",39,"Decaf"
54,2012-01-01,"South","Beans","Decaf Espresso",134,"Texas",26,"Decaf"
234,2012-01-01,"West","Beans","Decaf Espresso",546,"California",109,"Decaf"
89,2012-01-01,"Central","Beans","Amaretto",219,"Colorado",36,"Regular"
60,2012-01-01,"Central","Beans","Amaretto",140,"Ohio",46,"Regular"
83,2012-01-01,"Central","Beans","Colombian",190,"Colorado",39,"Regular"
144,2012-01-01,"Central","Beans","Colombian",345,"Illinois",90,"Regular"
57,2012-01-01,"Central","Beans","Colombian",140,"Ohio",41,"Regular"
54,2012-01-01,"Central","Beans","Caffe Mocha",134,"Colorado",26,"Regular"
234,2012-01-01,"Central","Beans","Caffe Mocha",546,"Illinois",109,"Regular"
170,2012-01-01,"Central","Beans","Caffe Mocha",341,"Ohio",72,"Regular"
84,2012-01-01,"East","Beans","Colombian",210,"Florida",58,"Regular"
72,2012-01-01,"East","Beans","Colombian",494,"Massachusetts",55,"Regular"
271,2012-01-01,"East","Beans","Colombian",678,"New York",145,"Regular"
79,2012-01-01,"East","Beans","Caffe Mocha",190,"Florida",102,"Regular"
170,2012-01-01,"East","Beans","Regular Espresso",341,"Massachusetts",71,"Regular"
228,2012-01-01,"East","Beans","Regular Espresso",490,"New York",87,"Regular"
207,2012-01-01,"South","Beans","Colombian",452,"Texas",86,"Regular"
72,2012-01-01,"South","Beans","Caffe Latte",180,"Texas",55,"Regular"
89,2012-01-01,"South","Beans","Caffe Mocha",219,"Texas",35,"Regular"
271,2012-01-01,"West","Beans","Colombian",678,"California",145,"Regular"
228,2012-01-01,"West","Beans","Caffe Latte",456,"California",88,"Regular"
105,2012-01-01,"West","Beans","Caffe Mocha",250,"California",128,"Regular"
170,2012-01-01,"Central","Leaves","Chamomile",341,"Colorado",72,"Decaf"
89,2012-01-01,"Central","Leaves","Chamomile",219,"Illinois",35,"Decaf"
32,2012-01-01,"Central","Leaves","Chamomile",80,"Ohio",19,"Decaf"
83,2012-01-01,"Central","Leaves","Lemon",190,"Illinois",39,"Decaf"
32,2012-01-01,"Central","Leaves","Lemon",80,"Ohio",19,"Decaf"
60,2012-01-01,"Central","Leaves","Mint",140,"Colorado",47,"Decaf"
95,2012-01-01,"Central","Leaves","Mint",234,"Illinois",38,"Decaf"
48,2012-01-01,"East","Leaves","Chamomile",110,"Florida",28,"Decaf"
54,2012-01-01,"East","Leaves","Lemon",120,"Florida",53,"Decaf"
58,2012-01-01,"East","Leaves","Lemon",130,"Massachusetts",55,"Decaf"
245,2012-01-01,"East","Leaves","Lemon",483,"New York",127,"Decaf"
69,2012-01-01,"East","Leaves","Mint",150,"Florida",42,"Decaf"
60,2012-01-01,"South","Leaves","Chamomile",140,"Texas",47,"Decaf"
57,2012-01-01,"South","Leaves","Lemon",140,"Texas",41,"Decaf"
95,2012-01-01,"West","Leaves","Chamomile",234,"California",37,"Decaf"
207,2012-01-01,"West","Leaves","Lemon",452,"California",85,"Decaf"
83,2012-01-01,"West","Leaves","Mint",190,"California",40,"Decaf"
58,2012-01-01,"Central","Leaves","Darjeeling",130,"Colorado",55,"Regular"
54,2012-01-01,"Central","Leaves","Darjeeling",134,"Illinois",27,"Regular"
84,2012-01-01,"Central","Leaves","Darjeeling",210,"Ohio",58,"Regular"
64,2012-01-01,"Central","Leaves","Earl Grey",140,"Colorado",40,"Regular"
72,2012-01-01,"Central","Leaves","Earl Grey",180,"Illinois",54,"Regular"
84,2012-01-01,"Central","Leaves","Earl Grey",200,"Ohio",49,"Regular"
44,2012-01-01,"Central","Leaves","Green Tea",100,"Colorado",26,"Regular"
32,2012-01-01,"East","Leaves","Darjeeling",80,"Florida",20,"Regular"
32,2012-01-01,"East","Leaves","Darjeeling",80,"Massachusetts",19,"Regular"
95,2012-01-01,"East","Leaves","Darjeeling",234,"New York",38,"Regular"
89,2012-01-01,"East","Leaves","Earl Grey",219,"New York",36,"Regular"
33,2012-01-01,"East","Leaves","Green Tea",81,"Florida",20,"Regular"
32,2012-01-01,"East","Leaves","Green Tea",80,"Massachusetts",19,"Regular"
54,2012-01-01,"East","Leaves","Green Tea",134,"New York",26,"Regular"
89,2012-01-01,"West","Leaves","Darjeeling",219,"California",36,"Regular"
54,2012-01-01,"West","Leaves","Earl Grey",134,"California",26,"Regular"
72,2012-01-01,"West","Leaves","Green Tea",180,"California",54,"Regular"
23,2012-01-01,"Central","Beans","Decaf Irish Cream",54,"Iowa",19,"Decaf"
78,2012-01-01,"Central","Beans","Decaf Irish Cream",170,"Missouri",45,"Decaf"
77,2012-01-01,"Central","Beans","Decaf Irish Cream",180,"Wisconsin",52,"Decaf"
17,2012-01-01,"Central","Beans","Decaf Espresso",43,"Iowa",16,"Decaf"
46,2012-01-01,"Central","Beans","Decaf Espresso",114,"Missouri",23,"Decaf"
48,2012-01-01,"Central","Beans","Decaf Espresso",110,"Wisconsin",28,"Decaf"
55,2012-01-01,"East","Beans","Decaf Espresso",130,"Connecticut",45,"Decaf"
33,2012-01-01,"South","Beans","Decaf Irish Cream",81,"Louisiana",20,"Decaf"
32,2012-01-01,"South","Beans","Decaf Irish Cream",80,"Oklahoma",20,"Decaf"
61,2012-01-01,"South","Beans","Decaf Espresso",150,"Louisiana",41,"Decaf"
35,2012-01-01,"South","Beans","Decaf Espresso",82,"New Mexico",38,"Decaf"
84,2012-01-01,"South","Beans","Decaf Espresso",210,"Oklahoma",59,"Decaf"
28,2012-01-01,"West","Beans","Decaf Irish Cream",62,"Nevada",30,"Decaf"
57,2012-01-01,"West","Beans","Decaf Irish Cream",140,"Oregon",41,"Decaf"
85,2012-01-01,"West","Beans","Decaf Irish Cream",190,"Utah",66,"Decaf"
79,2012-01-01,"West","Beans","Decaf Irish Cream",190,"Washington",102,"Decaf"
17,2012-01-01,"West","Beans","Decaf Espresso",43,"Nevada",15,"Decaf"
170,2012-01-01,"West","Beans","Decaf Espresso",341,"Oregon",72,"Decaf"
50,2012-01-01,"West","Beans","Decaf Espresso",123,"Utah",26,"Decaf"
69,2012-01-01,"West","Beans","Decaf Espresso",150,"Washington",42,"Decaf"
18,2012-01-01,"Central","Beans","Amaretto",45,"Iowa",16,"Regular"
54,2012-01-01,"Central","Beans","Amaretto",120,"Wisconsin",53,"Regular"
28,2012-01-01,"Central","Beans","Colombian",62,"Iowa",29,"Regular"
85,2012-01-01,"Central","Beans","Colombian",190,"Missouri",66,"Regular"
79,2012-01-01,"Central","Beans","Colombian",190,"Wisconsin",102,"Regular"
17,2012-01-01,"Central","Beans","Caffe Mocha",43,"Iowa",15,"Regular"
50,2012-01-01,"Central","Beans","Caffe Mocha",123,"Missouri",25,"Regular"
69,2012-01-01,"Central","Beans","Caffe Mocha",150,"Wisconsin",43,"Regular"
38,2012-01-01,"East","Beans","Amaretto",93,"New Hampshire",35,"Regular"
124,2012-01-01,"East","Beans","Colombian",310,"Connecticut",71,"Regular"
48,2012-01-01,"East","Beans","Colombian",120,"New Hampshire",47,"Regular"
75,2012-01-01,"East","Beans","Caffe Mocha",180,"Connecticut",98,"Regular"
34,2012-01-01,"South","Beans","Colombian",85,"Louisiana",21,"Regular"
48,2012-01-01,"South","Beans","Colombian",120,"New Mexico",46,"Regular"
44,2012-01-01,"South","Beans","Colombian",100,"Oklahoma",27,"Regular"
75,2012-01-01,"South","Beans","Caffe Latte",180,"Louisiana",97,"Regular"
84,2012-01-01,"South","Beans","Caffe Latte",200,"Oklahoma",50,"Regular"
67,2012-01-01,"South","Beans","Caffe Mocha",180,"Louisiana",43,"Regular"
32,2012-01-01,"South","Beans","Caffe Mocha",80,"Oklahoma",20,"Regular"
63,2012-01-01,"West","Beans","Amaretto",150,"Oregon",86,"Regular"
78,2012-01-01,"West","Beans","Amaretto",170,"Utah",45,"Regular"
67,2012-01-01,"West","Beans","Colombian",160,"Oregon",65,"Regular"
55,2012-01-01,"West","Beans","Colombian",130,"Utah",45,"Regular"
53,2012-01-01,"West","Beans","Colombian",130,"Washington",39,"Regular"
17,2012-01-01,"West","Beans","Caffe Latte",43,"Nevada",15,"Regular"
58,2012-01-01,"West","Beans","Caffe Latte",130,"Oregon",56,"Regular"
46,2012-01-01,"West","Beans","Caffe Latte",114,"Utah",24,"Regular"
48,2012-01-01,"West","Beans","Caffe Latte",110,"Washington",27,"Regular"
18,2012-01-01,"West","Beans","Caffe Mocha",45,"Nevada",17,"Regular"
60,2012-01-01,"West","Beans","Caffe Mocha",140,"Oregon",47,"Regular"
49,2012-01-01,"West","Beans","Caffe Mocha",112,"Utah",29,"Regular"
54,2012-01-01,"West","Beans","Caffe Mocha",120,"Washington",53,"Regular"
234,2012-01-01,"Central","Leaves","Chamomile",546,"Iowa",110,"Decaf"
67,2012-01-01,"Central","Leaves","Chamomile",180,"Wisconsin",43,"Decaf"
95,2012-01-01,"Central","Leaves","Lemon",234,"Iowa",53,"Decaf"
33,2012-01-01,"Central","Leaves","Lemon",81,"Wisconsin",20,"Decaf"
85,2012-01-01,"East","Leaves","Lemon",190,"Connecticut",65,"Decaf"
78,2012-01-01,"East","Leaves","Mint",170,"Connecticut",45,"Decaf"
49,2012-01-01,"South","Leaves","Chamomile",112,"Louisiana",28,"Decaf"
18,2012-01-01,"South","Leaves","Chamomile",45,"New Mexico",16,"Decaf"
54,2012-01-01,"South","Leaves","Chamomile",120,"Oklahoma",53,"Decaf"
85,2012-01-01,"South","Leaves","Lemon",190,"Louisiana",65,"Decaf"
